yq,PAYEMS,CPIAUCSL,HSN1F,UNRATE,HOUST,INDPRO,DSPIC96,IR,CPILFESL,PCEPILFE,PCEPI,PERMIT,TCU,IQ,GACDFSA066MSFRBPHI,GDPC1,ULCNFB,A261RX1Q020SBEA,LPAYEMS,L2PAYEMS,L3PAYEMS,L4PAYEMS,LCPIAUCSL,L2CPIAUCSL,L3CPIAUCSL,L4CPIAUCSL,LHSN1F,L2HSN1F,L3HSN1F,L4HSN1F,LUNRATE,L2UNRATE,L3UNRATE,L4UNRATE,LHOUST,L2HOUST,L3HOUST,L4HOUST,LINDPRO,L2INDPRO,L3INDPRO,L4INDPRO,LDSPIC96,L2DSPIC96,L3DSPIC96,L4DSPIC96,LIR,L2IR,L3IR,L4IR,LCPILFESL,L2CPILFESL,L3CPILFESL,L4CPILFESL,LPCEPILFE,L2PCEPILFE,L3PCEPILFE,L4PCEPILFE,LPCEPI,L2PCEPI,L3PCEPI,L4PCEPI,LPERMIT,L2PERMIT,L3PERMIT,L4PERMIT,LTCU,L2TCU,L3TCU,L4TCU,LIQ,L2IQ,L3IQ,L4IQ,LGACDFSA066MSFRBPHI,L2GACDFSA066MSFRBPHI,L3GACDFSA066MSFRBPHI,L4GACDFSA066MSFRBPHI,LGDPC1,L2GDPC1,L3GDPC1,L4GDPC1,LULCNFB,L2ULCNFB,L3ULCNFB,L4ULCNFB,LA261RX1Q020SBEA,L2A261RX1Q020SBEA,L3A261RX1Q020SBEA,L4A261RX1Q020SBEA
1988.25,104152,116.2333333333333,639,5.7,1425.3334,62.94273333333333,5993.666666666667,86.5,121.2666666666667,62.18566666666667,60.93366666666667,1402.3334,83.66666666666667,89.8,11.53333333333333,8339.299999999999,71.773,8335.5,103877.66,103597.34,103390.66,103051.34,115.93333,115.66666,115.33334,115.03333,614.33331,601.66669,623.33331,647,5.6999998,5.7333331,5.8333335,5.9000001,1381.3334,1442.3334,1523.6666,1622,62.790668,62.588734,62.366333,61.859066,5970.4331,5937.1665,5907.5332,5870.0669,85.5,85.5,85.5,84.300003,120.83334,120.46667,120.1,119.7,61.960999,61.782001,61.600666,61.424667,60.757999,60.615334,60.463001,60.321335,1342.3334,1348.6666,1416.3334,1472.6666,83.533333,83.333336,83.133331,82.566666,88.300003,88.300003,88.300003,86.599998,17.233334,15.066667,22.966667,21.766666,8292.7002,8292.7002,8292.7002,8158,70.778999,70.778999,70.778999,70.537003,8236,8236,8236,8129.2002
1988.5,105005.6666666667,117.5666666666667,700,5.466666666666666,1490.6666,63.49476666666667,6055.233333333334,88.8,122.7333333333333,62.93966666666667,61.60733333333334,1452.6666,84.3,92.2,20.66666666666667,8449.5,72.42,8432.700000000001,104726.66,104476.66,104152,103877.66,117.06667,116.63333,116.23333,115.93333,684,677,639,614.33331,5.5666666,5.5999999,5.6999998,5.6999998,1508.6666,1526,1425.3334,1381.3334,63.346901,63.201302,62.942734,62.790668,6037.4331,6019.6001,5993.6665,5970.4331,86.5,86.5,86.5,85.5,122.23333,121.73333,121.26666,120.83334,62.678665,62.417332,62.185665,61.960999,61.361336,61.132336,60.933666,60.757999,1466,1464,1402.3334,1342.3334,84.133331,83.966667,83.666664,83.533333,89.800003,89.800003,89.800003,88.300003,19.133333,19.299999,11.533333,17.233334,8339.2998,8339.2998,8339.2998,8292.7002,71.773003,71.773003,71.773003,70.778999,8335.5,8335.5,8335.5,8236
1988.75,105741.6666666667,119,690,5.466666666666666,1484,63.73713333333333,6113.566666666666,87.59999999999999,124.1,63.66466666666667,62.36566666666667,1445,84.50000000000001,94.09999999999999,21.5,8498.299999999999,73.074,8507.6,105513.34,105277,105005.66,104726.66,118.5,118,117.56667,117.06667,694.66669,693.33331,700,684,5.4666667,5.4666667,5.4666667,5.5666666,1479.3334,1455.3334,1490.6666,1508.6666,63.696701,63.541134,63.494766,63.346901,6096.2666,6074.1665,6055.2334,6037.4331,88.800003,88.800003,88.800003,86.5,123.6,123.16666,122.73333,122.23333,63.411999,63.185333,62.939667,62.678665,62.102665,61.854332,61.607334,61.361336,1461.3334,1456,1452.6666,1466,84.5,84.333336,84.300003,84.133331,92.199997,92.199997,92.199997,89.800003,18.766666,19.633333,20.666666,19.133333,8449.5,8449.5,8449.5,8339.2998,72.419998,72.419998,72.419998,71.773003,8432.7002,8432.7002,8432.7002,8335.5
1989,106599.6666666667,120.3,668,5.333333333333333,1551.3334,64.18676666666666,6172.633333333334,89.3,125.6,64.36833333333334,62.99033333333333,1508.3334,84.89999999999999,93.8,25.7,8610.9,73.321,8625,106300.66,105985.34,105741.66,105513.34,119.9,119.46667,119,118.5,683,703,690,694.66669,5.3666668,5.4666667,5.4666667,5.4666667,1527.6666,1502.3334,1484,1479.3334,63.947769,63.870369,63.737133,63.696701,6149.0332,6133.9336,6113.5669,6096.2666,87.599998,87.599998,87.599998,88.800003,125.16666,124.63333,124.1,123.6,64.162331,63.910667,63.664665,63.411999,62.812,62.595333,62.365665,62.102665,1486.6666,1470.6666,1445,1461.3334,84.666672,84.633331,84.5,84.5,94.099998,94.099998,94.099998,92.199997,26.666668,22.666668,21.5,18.766666,8498.2998,8498.2998,8498.2998,8449.5,73.073997,73.073997,73.073997,72.419998,8507.5996,8507.5996,8507.5996,8432.7002
1989.25,107404.3333333333,121.6666666666667,636,5.2,1489.3334,64.4658,6248.7,91,126.9333333333333,65.04833333333333,63.69566666666666,1354.3334,84.96666666666665,94.89999999999999,22.06666666666666,8697.700000000001,73.70399999999999,8681.700000000001,107166.66,106896.66,106599.66,106300.66,121.16666,120.73333,120.3,119.9,666.33331,668.33331,668,683,5.3000002,5.3333335,5.3333335,5.3666668,1536.3334,1584.3334,1551.3334,1527.6666,64.454529,64.384697,64.186768,63.947769,6221.9668,6194.3999,6172.6333,6149.0332,90.333336,90.199997,89.300003,87.599998,126.46667,126.03333,125.6,125.16666,64.827003,64.60067,64.368332,64.162331,63.444332,63.207333,62.990334,62.812,1450,1491.6666,1508.3334,1486.6666,85.066666,85.066666,84.900002,84.666672,94.433334,94.350006,93.800003,94.099998,23.666668,26.033335,25.700001,26.666668,8610.9004,8610.9004,8610.9004,8498.2998,73.320999,73.320999,73.320999,73.073997,8625,8625,8625,8507.5996
1989.5,107909.3333333333,123.6333333333333,635.33331,5.233333333333333,1355.6666,64.22983333333333,6230.433333333333,92.03333333333335,128.3,65.62833333333333,64.54299999999999,1359.6666,84.16666666666667,95.2,-4.566666666666666,8766.1,73.699,8664.6,107773.66,107612.34,107404.34,107166.66,123,122.3,121.66666,121.16666,610.33331,599,636,666.33331,5.1333332,5.1333332,5.1999998,5.3000002,1364,1395.3334,1489.3334,1536.3334,64.349335,64.436203,64.465797,64.454529,6245.2334,6255.1001,6248.7002,6221.9668,91.966667,91.300003,91,90.333336,127.83334,127.36667,126.93333,126.46667,65.435333,65.235336,65.048332,64.827003,64.278336,63.982002,63.695667,63.444332,1323.6666,1324.3334,1354.3334,1450,84.5,84.76667,84.966667,85.066666,95.199997,94.933334,94.900002,94.433334,3.9333332,14.033333,22.066668,23.666668,8697.7002,8697.7002,8697.7002,8610.9004,73.704002,73.704002,73.704002,73.320999,8681.7002,8681.7002,8681.7002,8625
1989.75,108182,124.6,689,5.233333333333333,1346,63.83193333333333,6272.833333333333,90.3,129.5333333333333,66.10066666666667,64.91,1310.3334,83.13333333333334,94.36666666666667,-10.6,8831.5,73.96599999999999,8697.799999999999,108069,108000.66,107909.34,107773.66,124.36667,124.1,123.63333,123,690,676.33331,635.33331,610.33331,5.2333331,5.2333331,5.2333331,5.1333332,1385.3334,1385,1355.6666,1364,63.907898,63.897831,64.229836,64.349335,6253.8999,6234.7334,6230.4336,6245.2334,90.666664,91.533333,92.033333,91.966667,129.16667,128.76666,128.3,127.83334,65.942665,65.803337,65.628334,65.435333,64.812332,64.715996,64.542999,64.278336,1313,1328.6666,1359.6666,1323.6666,83.400002,83.566666,84.166664,84.5,94.633331,95.099998,95.199997,95.199997,-11.333333,-11.566667,-4.5666666,3.9333332,8766.0996,8766.0996,8766.0996,8697.7002,73.698997,73.698997,73.698997,73.704002,8664.5996,8664.5996,8664.5996,8681.7002
1990,108692.6666666667,125.8666666666667,653,5.366666666666667,1337.3334,64.10340000000001,6323.3,91.2,131.1,66.70033333333333,65.41699999999999,1377,82.86666666666666,94.40000000000002,-4.433333333333333,8850.200000000001,74.958,8704.5,108531.34,108318.66,108182,108069,125.36667,124.9,124.6,124.36667,656,660.33331,689,690,5.3333335,5.2666669,5.2333331,5.2333331,1346.6666,1340.3334,1346,1385.3334,63.9137,63.931168,63.831932,63.907898,6310.7334,6293.2334,6272.8335,6253.8999,90.800003,90.433334,90.300003,90.666664,130.53334,130,129.53333,129.16667,66.499001,66.285332,66.10067,65.942665,65.222664,65.043663,64.909996,64.812332,1341,1337.6666,1310.3334,1313,82.833336,83.066666,83.133331,83.400002,94.400002,94.333336,94.366669,94.633331,-5.5333333,-7.3000002,-10.6,-11.333333,8831.5,8831.5,8831.5,8766.0996,73.966003,73.966003,73.966003,73.698997,8697.7998,8697.7998,8697.7998,8664.5996
1990.25,109421.3333333333,128.0333333333333,595,5.3,1425.6666,64.54253333333334,6376.400000000001,92.53333333333335,132.7666666666667,67.45133333333334,66.35000000000001,1441,82.86666666666667,94.86666666666667,-17.13333333333334,8947.1,75.84999999999999,8795.4,109155.34,108928.66,108692.66,108531.34,127.26667,126.56667,125.86667,125.36667,613.66669,644.66669,653,656,5.3666668,5.4000001,5.3666668,5.3333335,1413,1384.3334,1337.3334,1346.6666,64.363136,64.160835,64.103401,63.9137,6358.3003,6339.3335,6323.3003,6310.7334,92.266663,91.73333,91.199997,90.800003,132.13333,131.60001,131.10001,130.53334,67.156334,66.903999,66.700333,66.499001,66.01033,65.689003,65.417,65.222664,1499.6666,1504.6666,1377,1341,82.833336,82.76667,82.866669,82.833336,94.73333,94.599998,94.400002,94.400002,-10.566667,-4.5999999,-4.4333334,-5.5333333,8850.2002,8850.2002,8850.2002,8831.5,74.958,74.958,74.958,73.966003,8704.5,8704.5,8704.5,8697.7998
1990.5,109795.6666666667,129.3,540.33331,5.333333333333333,1212.3334,65.04433333333334,6414.599999999999,91.2,134.5,68.19699999999999,66.94633333333333,1103.6666,82.96666666666667,95.16666666666667,-11.36666666666667,8981.700000000001,76.732,8845.299999999999,109724,109589,109421.34,109155.34,128.86667,128.5,128.03334,127.26667,550,569,595,613.66669,5.3333335,5.3000002,5.3000002,5.3666668,1249.6666,1324.6666,1425.6666,1413,64.96003,64.8414,64.542534,64.363136,6401.8003,6394.0669,6376.3999,6358.3003,91.73333,92.23333,92.533333,92.266663,133.96666,133.39999,132.76666,132.13333,67.973663,67.732666,67.451332,67.156334,66.751999,66.574997,66.349998,66.01033,1149.6666,1237,1441,1499.6666,83.033333,83.066666,82.866669,82.833336,95.066666,94.833336,94.866669,94.73333,-15.766666,-17.633333,-17.133333,-10.566667,8947.0996,8947.0996,8947.0996,8850.2002,75.849998,75.849998,75.849998,74.958,8795.4004,8795.4004,8795.4004,8704.5
