,rmse_standard_pred,rmse,log_loss
elu,0.9476322998140088,0.9381869977863684,-2.1142406463623047
exponential,,,
linear,2.217987574288843,2.2168155887838963,-2.3159446716308594
relu,1.3636446580490087,1.3652489133396375,-2.163426160812378
sigmoid,2.181872622757171,2.1865352137914225,-2.3092777729034424
softmax,2.187478528598586,2.1874758037863824,-2.3094840049743652
softplus,2.0246381695403786,2.035046711790946,-2.277301788330078
tanh,2.1598670586542057,2.1623716944739764,-2.3040237426757812
