,rmse_standard_pred,rmse,log_loss
elu,1.228993915552112,1.2238230150239682,-2.145118236541748
exponential,,,
linear,1.7163045652513178,1.713206071852408,-2.216984748840332
relu,1.4785053046205197,1.4914937428807706,-2.1814587116241455
sigmoid,2.1730978836856054,2.168258180285953,-2.305298328399658
softmax,2.2100787432697135,2.2101122930314734,-2.3144609928131104
softplus,2.1147234890596605,2.116582129384756,-2.294227123260498
tanh,2.211485885709622,2.2107178272260324,-2.3145947456359863
